Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.4509254414985E-05,1.4418080479528E-08,0.0371569473494335,0,0,0,0.637576232475362,0.0015156408925581,-4.43771629794927E-10,-1.56908018120855E-07,0.00151491092167326,-1.90313577953477E-11,0.00262377531863523,0,0,0,0,0,0,package://moveo_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://moveo_urdf/meshes/base_link.STL,,Rotary Plate-1/1M2A-1,座標系統1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
moveo_link1,4.23281270756082E-05,-0.0723426281838056,7.52863909325718E-06,0,0,0,4.14596598503804,0.0108326781520524,-8.27834111756671E-06,1.24839826978144E-07,0.0252641854518104,2.11665835635902E-07,0.030171564442603,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link1.STL,0.0274509803921569,0.270588235294118,1,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link1.STL,,1M1B-1;2M1 assembly-2/2M1D-1;2M1 assembly-2/Nema 23-1;2M1 assembly-2/Tapa 2M1C-3;2M1 assembly-2/Tapa 2M1C-2;2M1 assembly-2/Nema 23-2,Origin_moveo_joint1,Axis_moveo_joint1,moveo_joint1,revolute,0,0,0.066,-1.5708,0,-3.1139,base_link,0,1,0,5,1,-1.5707,1.5707,,,,,,,,
moveo_link2,-3.5598266961534E-05,-0.00181263087193446,-0.0790488642802236,0,0,0,1.90833274539581,0.0168376490838081,-9.77548487650576E-07,7.97835750301521E-06,0.0160408709961713,-0.000137086934063529,0.0035704576232656,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link2.STL,,2M2-1/2M2MA-1;2M2-1/2M2HA-1;3M1-1/3M1D-1;3M1-1/Pulley 8mm IGNIS-1;Tapa 3M1C-2;Tapa 3M1C-3;3M1-1/Nema 17 Reductor-1,Origin_moveo_joint2,Axis_moveo_joint2,moveo_joint2,revolute,0,-0.1655,0,0,0.82923,1.5708,moveo_link1,0,1,0,5,3,-1.5707,1.5707,,,,,,,,
moveo_link3,-0.000341179968523481,0.0354988834038052,0.0135246607997281,0,0,0,0.65464588761888,0.0019569588371702,4.02670403056236E-05,1.47787800381269E-05,0.000817152310136842,-0.000415916718639491,0.00175972510706256,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link3.STL,1,1,1,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link3.STL,,3M2-1/3M2C-1;3M2-1/3M2CC-1,座標系統3,基準軸3,moveo_joint3,revolute,-4.4369E-05,0,-0.22112,-2.4002,-0.018711,1.5912,moveo_link2,0.99962,0.0277,0,5,3,-1.5707,1.5707,,,,,,,,
moveo_link4,-0.0131269608189356,0.0408481897255118,0.0172112188812506,0,0,0,0.612035593213448,0.00062370313749707,-4.73739207854501E-05,1.04170005323028E-05,0.000480936593835506,-0.000110152018885812,0.000739292656642008,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link4.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link4.STL,,4M-1/4M1D-1;4M-1/TBC-1;4M-1/Nema 14-1;4M-1/8mm Bearing-3;4M-1/Pulley M5-1;4M-1/8mm Bearing-2,座標系統4,基準軸4,moveo_joint4,revolute,-0.0022967,0.11898,0.045038,0,0,0,moveo_link3,0.025906,-0.9349,-0.35396,5,3,-1.5707,1.5707,,,,,,,,
moveo_link5,-7.62195291457712E-05,0.000405720350555708,-0.0131112422710967,0,0,0,0.189731615639297,0.000185762161887578,6.74381014084778E-09,-8.28191784100102E-07,0.00019780801127732,8.52546217432248E-07,8.67553068627022E-05,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link5.STL,0.0980392156862745,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_link5.STL,,4M-1/4M2-1/4M2B-1;4M-1/4M2-1/4M2CB-1;4M-1/Gripper B Assembly-1/Top Plate C-1;4M-1/Gripper B Assembly-1/Bottom Plate C-1,Origin_moveo_joint5,基準軸5,moveo_joint5,revolute,-0.0024817,0.089559,0.033866,0.24894,-1.0009,1.4384,moveo_link4,0.00069194,1,0.00091055,5,3,-1.5707,1.5707,,,,,,,,
moveo_gripper_link1,0.00643723355148901,-0.000924761156969572,-0.00224872255175218,0,0,0,0.0047828795148062,2.43171554056305E-07,-5.26697682940436E-08,1.09034515597783E-07,9.83407298744055E-07,9.639541565655E-08,1.05748703805807E-06,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_gripper_link1.STL,0.909803921568627,0.443137254901961,0.0313725490196078,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_gripper_link1.STL,,4M-1/Gripper B Assembly-1/Servo Gear B-1,座標系統6,基準軸6,moveo_gripper_joint1,revolute,0.0019231,-0.013937,-0.06497,-1.0147,-0.13695,-1.4989,moveo_link5,-0.071893,-0.53489,-0.84185,5,3,-1.5707,0,,,,,,,,
moveo_gripper_link2,-0.0106626677653895,0.0243779131440996,-0.0121167420952322,0,0,0,0.0102850810310957,3.76788256732625E-06,8.89385651763932E-07,-5.51336216301581E-07,1.61786094626888E-06,1.39065269051733E-06,3.09053934179815E-06,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_gripper_link2.STL,0.6,1,0.27843137254902,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_gripper_link2.STL,,4M-1/Gripper B Assembly-1/Gripper Right B-1,座標系統7,基準軸7,moveo_gripper_joint2,revolute,0.039301,0.00051624,-0.0084357,0,0,0,moveo_gripper_link1,-0.071893,-0.53489,-0.84185,5,3,-1.5707,0,,,,,,,,
moveo_gripper_link4,-0.00616958157244605,0.000263825295020226,0.00282406581488476,0,0,0,0.00490508899478859,2.37916450151647E-07,-3.17972718674152E-08,9.68109782838877E-08,9.93049096893463E-07,9.2895069435296E-08,1.0676896544202E-06,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_gripper_link4.STL,0.0588235294117647,0.647058823529412,1,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_gripper_link4.STL,,4M-1/Gripper B Assembly-1/Idol Gear B-1,座標系統9,基準軸9,moveo_gripper_joint4,revolute,-0.0020575,0.014066,-0.064944,-1.0147,-0.13695,-1.4989,moveo_link5,-0.071893,-0.53489,-0.84185,5,0,0,1.5707,,,,,,,,
moveo_gripper_link5,0.00317980552143342,0.0254722373502971,-0.0139940155849513,0,0,0,0.0102852755894781,4.09478662135657E-06,-9.84016435803445E-08,4.81599310518642E-08,1.45965404638624E-06,1.57554933724087E-06,2.92191101624261E-06,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_gripper_link5.STL,0.6,1,0.27843137254902,1,0,0,0,0,0,0,package://moveo_urdf/meshes/moveo_gripper_link5.STL,,4M-1/Gripper B Assembly-1/Gripper Left B-1,座標系統10,基準軸10,moveo_gripper_joint5,revolute,-0.039516,-0.0031242,0.0053597,0,0,0,moveo_gripper_link4,-0.071893,-0.53489,-0.84185,5,3,0,1.5707,,,,,,,,
